,phen,male_count,female_count,combined_count
692,A080,3,6,9
693,A081,72,37,109
694,A082,1,0,1
695,A083,14,10,24
696,A084,300,411,711
697,A085,4,4,8
698,A09,184,233,417
699,A090,107,109,216
700,A099,2724,3634,6358
701,A107,1,1,2
702,A150,7,2,9
703,A151,2,1,3
704,A152,8,2,10
705,A153,3,1,4
706,A155,0,1,1
707,A156,2,1,3
708,A157,0,1,1
709,A159,1,0,1
710,A160,2,0,2
711,A161,0,1,1
712,A162,18,12,30
713,A163,1,0,1
714,A165,5,1,6
715,A169,19,12,31
716,A170,5,0,5
717,A172,0,1,1
718,A178,1,3,4
719,A180,2,5,7
720,A181,7,3,10
721,A182,4,1,5
722,A183,1,2,3
723,A184,1,0,1
724,A185,0,1,1
725,A187,0,2,2
726,A188,1,1,2
727,A192,0,1,1
728,A199,1,2,3
729,A202,1,0,1
730,A203,0,1,1
731,A209,0,1,1
732,A227,1,0,1
733,A244,1,0,1
734,A260,1,0,1
735,A263,1,1,2
736,A279,8,1,9
737,A280,6,7,13
738,A281,1,1,2
739,A288,1,0,1
740,A310,13,12,25
741,A311,2,0,2
742,A318,4,4,8
743,A319,7,8,15
744,A321,3,0,3
745,A327,1,2,3
746,A329,2,0,2
747,A363,3,2,5
748,A368,2,1,3
749,A369,0,1,1
750,A370,2,0,2
751,A38,1,3,4
752,A384,0,1,1
753,A385,0,1,1
754,A388,0,1,1
755,A390,10,17,27
756,A392,2,1,3
757,A394,9,12,21
758,A398,3,2,5
759,A400,19,22,41
760,A401,16,8,24
761,A402,9,3,12
762,A403,35,24,59
763,A408,69,27,96
764,A409,29,17,46
765,A410,157,75,232
766,A411,86,71,157
767,A412,38,22,60
768,A413,3,6,9
769,A414,12,6,18
770,A415,389,279,668
771,A418,118,67,185
772,A419,1825,1555,3380
773,A421,0,3,3
774,A422,1,0,1
775,A427,0,1,1
776,A428,3,3,6
777,A429,2,5,7
778,A431,0,1,1
779,A432,0,1,1
780,A444,1,0,1
781,A445,0,1,1
782,A46,44,61,105
783,A480,1,0,1
784,A481,41,10,51
785,A482,1,0,1
786,A483,1,5,6
787,A486,0,1,1
788,A487,1,3,4
789,A488,11,9,20
790,A490,185,120,305
791,A491,47,50,97
792,A492,13,11,24
793,A493,0,4,4
794,A498,143,95,238
795,A499,66,41,107
796,A511,1,0,1
797,A514,2,0,2
798,A518,1,0,1
799,A521,38,53,91
800,A522,35,46,81
801,A523,2,1,3
802,A527,1,0,1
803,A528,10,15,25
804,A529,2,2,4
805,A538,1,0,1
806,A539,1,0,1
807,A542,6,1,7
808,A544,1,0,1
809,A548,2,1,3
810,A551,0,1,1
811,A552,0,3,3
812,A553,2,0,2
813,A558,9,25,34
814,A559,80,110,190
815,A560,0,3,3
816,A571,4,0,4
817,A572,0,1,1
818,A573,3,3,6
819,A574,2,4,6
820,A575,2,1,3
821,A577,48,53,101
822,A578,5,5,10
823,A58,1,0,1
824,A590,0,1,1
825,A592,1,0,1
826,A599,1,0,1
827,A600,5,18,23
828,A601,0,1,1
829,A603,0,2,2
830,A604,0,1,1
831,A605,0,1,1
832,A606,1,6,7
833,A608,0,1,1
834,A611,17,67,84
835,A614,1,0,1
836,A622,1,0,1
837,A623,1,0,1
838,A624,6,5,11
839,A630,45,114,159
840,A638,1,11,12
841,A64,1,0,1
842,A642,11,9,20
843,A649,1,0,1
844,A651,141,288,429
845,A652,1,1,2
846,A658,0,2,2
847,A661,1,2,3
848,A666,1,0,1
849,A671,15,12,27
850,A673,0,1,1
851,A678,1,2,3
852,A681,1,2,3
853,A683,0,1,1
854,A684,6,1,7
855,A689,1,3,4
856,A692,14,13,27
857,A698,2,0,2
858,A699,20,6,26
859,A70,4,1,5
860,A703,0,1,1
861,A704,0,2,2
862,A706,1,2,3
863,A707,1,0,1
864,A708,3,10,13
865,A711,0,1,1
866,A719,0,1,1
867,A731,4,3,7
868,A733,10,2,12
869,A734,0,1,1
870,A735,16,31,47
871,A736,0,1,1
872,A738,0,1,1
873,A749,0,1,1
874,A752,1,0,1
875,A753,1,1,2
876,A759,0,1,1
877,A762,1,0,1
878,A763,1,1,2
879,A769,1,0,1
880,A773,1,0,1
881,A779,1,3,4
882,A78,1,0,1
883,A783,1,0,1
884,A789,0,1,1
885,A798,0,2,2
886,A803,1,1,2
887,A809,4,8,12
888,A810,7,10,17
889,A811,1,2,3
890,A812,10,5,15
891,A818,2,6,8
892,A819,1,0,1
893,A821,1,0,1
894,A838,1,2,3
895,A839,1,0,1
896,A841,7,7,14
897,A842,7,8,15
898,A843,4,5,9
899,A844,2,4,6
900,A845,1,0,1
901,A847,30,14,44
902,A848,0,3,3
903,A849,1,0,1
904,A850,2,0,2
905,A858,1,2,3
906,A86,34,21,55
907,A870,1,4,5
908,A872,4,3,7
909,A878,0,2,2
910,A879,41,75,116
911,A881,1,0,1
912,A89,1,1,2
913,A90,3,1,4
914,A920,0,1,1
915,A921,1,0,1
916,A938,1,0,1
917,A94,1,0,1
918,B000,3,3,6
919,B001,37,36,73
920,B002,14,5,19
921,B003,1,4,5
922,B004,21,12,33
923,B005,13,28,41
924,B008,7,5,12
925,B009,30,37,67
926,B010,0,4,4
927,B011,2,1,3
928,B012,2,5,7
929,B018,2,5,7
930,B019,22,14,36
931,B020,5,3,8
932,B021,2,4,6
933,B022,48,40,88
934,B023,35,25,60
935,B027,2,1,3
936,B028,5,7,12
937,B029,132,181,313
938,B041,6,1,7
939,B059,1,1,2
940,B07,281,364,645
941,B080,1,0,1
942,B081,37,50,87
943,B082,0,3,3
944,B083,7,32,39
945,B084,4,29,33
946,B085,0,3,3
947,B086,1,3,4
948,B088,0,1,1
949,B089,0,1,1
950,B09,2,2,4
951,B101,0,2,2
952,B122,0,3,3
953,B124,0,1,1
954,B128,0,2,2
955,B142,0,1,1
956,B144,3,5,8
957,B145,1,1,2
958,B149,9,12,21
959,B159,24,33,57
960,B160,0,1,1
961,B163,0,3,3
962,B169,44,14,58
963,B171,47,21,68
964,B172,6,4,10
965,B178,5,5,10
966,B179,9,10,19
967,B180,2,0,2
968,B181,62,22,84
969,B182,140,59,199
970,B188,4,3,7
971,B189,10,2,12
972,B199,11,20,31
973,B201,6,0,6
974,B202,2,0,2
975,B203,6,0,6
976,B204,2,0,2
977,B206,8,0,8
978,B207,2,0,2
979,B208,4,0,4
980,B210,3,0,3
981,B212,1,0,1
982,B218,1,0,1
983,B220,3,0,3
984,B221,1,0,1
985,B222,2,0,2
986,B223,3,2,5
987,B227,3,0,3
988,B230,3,0,3
989,B232,3,0,3
990,B238,11,1,12
991,B24,80,2,82
992,B250,3,6,9
993,B251,2,2,4
994,B258,8,6,14
995,B259,44,46,90
996,B260,2,0,2
997,B269,1,4,5
998,B270,11,9,20
999,B271,0,2,2
1000,B273,0,5,5
1001,B274,2,101,103
1002,B275,7,4,11
1003,B276,0,28,28
1004,B278,1,2,3
1005,B279,23,34,57
1006,B281,0,1,1
1007,B282,2,204,206
1008,B283,4,190,194
1009,B284,0,41,41
1010,B285,0,129,129
1011,B286,0,1,1
1012,B287,0,19,19
1013,B288,0,16,16
1014,B291,0,10,10
1015,B292,0,2,2
1016,B293,0,3,3
1017,B295,0,9,9
1018,B298,0,5,5
1019,B299,0,2,2
1020,B301,0,19,19
1021,B302,0,16,16
1022,B303,0,11,11
1023,B304,0,7,7
1024,B308,1,3,4
1025,B309,3,6,9
1026,B311,0,53,53
1027,B312,0,5,5
1028,B313,0,7,7
1029,B314,0,2,2
1030,B318,0,3,3
